,MAE,RMSE,MAPE,R2,epochs_trained
RNN,0.04473263389198704,0.07218634451935371,36.67948762952051,0.9589651904814112,14
LSTM,0.03260396154918877,0.050270483029706714,97.58634504201885,0.9800992960790498,46
GRU,0.03293577886696886,0.05591229509629653,63.38681364689454,0.9753817622711771,16
