,MAE,RMSE,MAPE,R2,holdout_MAE,holdout_R2,epochs_trained
RNN,0.013142491383927837,0.017618206090268814,2.4785999888242904,0.9915653777643961,0.012591113126223717,0.9946475763244176,13
LSTM,0.03627027707312381,0.04572944733786584,5.748065385489127,0.9431756900908653,0.03249782750747353,0.9760467937227748,9
GRU,0.029866604536811087,0.036225605255158104,4.907236556284186,0.964340638268279,0.02433048848448718,0.9864037377377862,7
