,MAE,RMSE,MAPE,R2,holdout_MAE,holdout_R2,epochs_trained
RNN,0.016974595039082177,0.02248336089516114,2.9272879545310233,0.9862638593822032,0.014597305478966092,0.9933705977396736,10
LSTM,0.029394266365436992,0.03613976345076966,4.912141406227147,0.964509438050436,0.022435334625715092,0.9856118528971458,9
GRU,0.026013981508844423,0.03149139280618888,4.221429557671371,0.9730520332435292,0.020451426230885854,0.9901748111462628,14
